"Questão", "Opção A", "Opção B", "Opção C", "Opção D"
"Quando a diretoria pede simulação de preços/volumes, vocês…", "a) Não conseguem", "b) Entregam manualmente após dias", "c) Entregam no mesmo dia", "d) A diretoria não solicita simulações"
"A visão do impacto comercial nos demonstrativos é…", "a) Manual e demorada (suscetível a erros)", "b) Parcialmente automatizada via planilhas", "c) Conectada e sistematizada", "d) Não acompanhamos os impactos nos demonstrativos"
"A alteração e inclusão da estrutura comercial (Produto, Canal de Venda, Filial...) é possível?", "a) Fazemos manualmente com muito esforço.", "b) Parcialmente automatizada via planilhas", "c) Sim, automaticamente atualizado com integração ao ERP", "d) Não é possível"
"O orçamento de custos variáveis é feito via premissa percentual ou digitado direto nas contas contábeis, ou são abertos por fichas técnicas?", "a) Digitado direto nas contas", "b) Percentual sobre a receita", "c) Por ficha técnica", "d) Não orça custos variáveis"
"Hoje, se criar um novo cenário orçamentário alterando o volume de produção, o efeito nos custos é…", "a) Manual e demorada (suscetível a erros)", "b) Parcialmente automatizada via planilhas", "c) Conectada e sistematizada", "d) Não fazemos cenários de simulações"
"A rastreabilidade das premissas de custos é…", "a) Totalmente dependente e centralizada em pessoas especialistas", "b) Documentado em arquivos em pastas", "c) Completa com roteiros e documentações no sistema orçamentário", "d) Não existe rastreabilidade"
"Quando mudam as premissas (preço de insumo, inflação, cambio) a revisão dos cenários de custos demora…", "a) mais de uma semana, com muito esforço", "b) De 2 a 7 dias, com esforço manual", "c) No mesmo dia, com automatização", "d) Não fazemos cenários de simulações"
"O alinhamento orçamento de produção x vendas é…", "a) Projetamos apenas valores", "b) Parcialmente alinhado, com necessidades de conferências e ajustes manuais", "c) Totalmente integrado a capacidade operacional", "d) Desconectado da capacidade operacional"
"Para projetar o orçamento de produção e custos, vocês utilizam fichas técnicas de produtos e operações para calcular consumo de insumos, perdas e capacidade produtiva?", "a) Não, fazemos apenas estimativas gerais sem base técnica", "b) Usamos parcialmente, com cálculos manuais em algumas áreas", "c) Usamos fichas técnicas de forma completa, automatizada e integrada ao orçamento", "d) Não projetagem compra de insumos"
"O RH participa do processo de orçamento…", "a) Apenas fornecendo dados", "b) Parcialmente ativo", "c) Como protagonista com simulações integradas", "d) Não participa"
"Quando ocorre um dissídio, quanto tempo levam para recalcular salários, encargos e benefícios?", "a) Mais de 2 semanas", "b) Até 1 semana", "c) Em horas", "d) Não projetamos dissídio"
"O impacto de contratações ou demissões no orçamento e nos demonstrativos é…", "a) Manual e demorada (suscetível a erros)", "b) Parcialmente automatizada via planilhas", "c) Conectada e sistematizada", "d) Não projetamos contratações ou demissões"
"Comparações Orçado x Realizado de headcount e massa salarial são…", "a) Apenas por valores", "b) Parcialmente feitas", "c) Estruturadas e contínuas", "d) Não realizamos acompanhamento"
"Os gestores de centro de custo ou pacotes são responsáveis por elaborar o orçamento de headcount, promoções, transferências, contratações e demissões?", "a) Não, tudo é centralizado no RH ou financeiro", "b) Sim, mas de forma parcial e pouco estruturada", "c) Sim, de forma estruturada, descentralizada e integrada ao orçamento geral", "d) Não orçamos pessoas de forma detalhada"
"A consistência entre os demonstrativos: DRE, Balanço e Fluxo de Caixa hoje é…", "a) Três histórias diferentes", "b) Parcialmente alinhada", "c) Uma visão única e conectada", "d) Não orçamos peças de resultado"
"É possível explicar variações de receita, custo e margem no DRE em tempo hábil?", "a) Não conseguimos explicar de forma estruturada.", "b) Explicamos parcialmente, com grande esforço manual", "c) Explicamos em tempo real, com visão detalhada e drilldown", "d) Não orçamos peças de resultado"
"Conseguem analisar margens de contribuição por Unidade de Negócio, Segmento, Produto ou Canal de Vendas?", "a) Não, temos apenas visão consolidada", "b) Sim, mas de forma manual e limitada", "c) Sim, de forma estruturada, integrada e automatizada", "d) Não orçamos peças de resultado"
"Conseguem automatizar a eliminações intercompany (DRE e BP)?", "a) Não, fazemos manualmente em planilhas", "b) Sim, mas com cálculos manuais e risco de erro", "c) Sim, automaticamente e integrado ao DRE", "e) Não temos transações entre as empresas do grupo"
"O fluxo de caixa projetado é construído a partir dos prazos médios de recebimento e pagamento, refletindo automaticamente o orçamento?", "a) Não, fazemos planilhas manuais desconectadas", "b) Parcial, com alguns vínculos manuais ao orçamento", "c) Sim, totalmente integrado ao orçamento e atualizado com base em prazos médios", "d) Não projetamos fluxo de caixa"
"O balanço patrimonial projetado é atualizado automaticamente com base no orçamento, fluxo de caixa e movimentações previstas?", "a) Não, fazemos apenas planilhas estáticas", "b) Parcial, com alguns ajustes manuais", "c) Sim, totalmente integrado e consistente com DRE e Caixa", "d) Não projetamos balanço patrimonial"
"O fluxo de caixa indireto projetado é derivado de forma automática das movimentações previstas no balanço patrimonial e DRE?", "a) Não, construímos manualmente em planilhas", "b) Parcial, com alguns vínculos manuais", "c) Sim, totalmente automático e conectado aos demonstrativos", "d) Não projetamos fluxo de caixa indireto"
